ID,착과량(int)
TEST_0000,247.56740882268673
TEST_0001,758.0026009758781
TEST_0002,144.434770722872
TEST_0003,446.4462985513527
TEST_0004,686.9506873959622
TEST_0005,295.98303172294794
TEST_0006,40.63730594975104
TEST_0007,48.342558801799875
TEST_0008,355.0832820070759
TEST_0009,227.4874565342306
TEST_0010,559.00959226126
TEST_0011,748.2044360693158
TEST_0012,447.70498354472625
TEST_0013,361.2398515262104
TEST_0014,110.06267526147394
TEST_0015,146.4717118503984
TEST_0016,459.55922423802775
TEST_0017,437.7628840050064
TEST_0018,245.62384874442395
TEST_0019,583.0135630314849
TEST_0020,247.57568116455403
TEST_0021,353.94227717267813
TEST_0022,449.69567392456065
TEST_0023,243.5882937390929
TEST_0024,148.19785938749249
TEST_0025,648.0596430567059
TEST_0026,154.70364501238052
TEST_0027,758.6336880682486
TEST_0028,621.8222495378652
TEST_0029,447.25862946403595
TEST_0030,37.899934210977854
TEST_0031,609.2508144075584
TEST_0032,663.3987750951006
TEST_0033,543.1753714336833
TEST_0034,557.5535239113718
TEST_0035,370.68474254838327
TEST_0036,242.5866360666695
TEST_0037,651.4404375689679
TEST_0038,28.069190225725954
TEST_0039,447.25862946403595
TEST_0040,368.3204781399879
TEST_0041,147.54038041420822
TEST_0042,745.9075211796545
TEST_0043,113.29944598497502
TEST_0044,588.8752740427321
TEST_0045,346.2220661502545
TEST_0046,756.3387150012669
TEST_0047,465.3615073937607
TEST_0048,363.5155864930406
TEST_0049,448.1890377528558
TEST_0050,547.3068010721781
TEST_0051,651.0825715718045
TEST_0052,395.7920103422941
TEST_0053,445.2214140504336
TEST_0054,363.2141371246481
TEST_0055,161.3389452755181
TEST_0056,745.6257320924576
TEST_0057,543.9559184197858
TEST_0058,591.7386643325578
TEST_0059,543.5593658340948
TEST_0060,449.69567392456065
TEST_0061,44.05146927676027
TEST_0062,538.6657931674307
TEST_0063,347.98618484617685
TEST_0064,544.3893122402484
TEST_0065,354.33934066481
TEST_0066,448.8093880506773
TEST_0067,448.1890377528558
TEST_0068,150.29901694716665
TEST_0069,685.9892621502845
TEST_0070,743.1531588040821
TEST_0071,761.5585085481692
TEST_0072,643.7429228451902
TEST_0073,243.65074174835107
TEST_0074,143.1182675820627
TEST_0075,250.89217595589002
TEST_0076,144.434770722872
TEST_0077,643.4903601551213
TEST_0078,748.517974103515
TEST_0079,346.2220661502545
TEST_0080,258.3045183384625
TEST_0081,48.54527356707372
TEST_0082,59.602298490953046
TEST_0083,652.1167153045392
TEST_0084,626.4115486391797
TEST_0085,506.3217508738301
TEST_0086,247.56740882268673
TEST_0087,346.4726225673231
TEST_0088,80.95672683168482
TEST_0089,143.1182675820627
TEST_0090,31.903045568189242
TEST_0091,379.3265884804957
TEST_0092,541.3568056997781
TEST_0093,537.7622107329047
TEST_0094,546.77529245147
TEST_0095,358.66266374009905
TEST_0096,246.22163749921702
TEST_0097,247.56740882268673
TEST_0098,237.83587851112927
TEST_0099,648.4668583248779
TEST_0100,710.4618918084166
